,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-01 01:00:00,437541,2021-01-01 01:00:00,,0.0015,,21.0,,0.036,,0.0025,,0.2,,0.0029,,0.0004,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,437541,2021-01-01 02:00:00,,0.0015,,22.0,,0.037,,0.0021,,0.1,,0.0025,,0.0004,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,437541,2021-01-01 03:00:00,,0.0014,,18.0,,0.037,,0.0019,,0.2,,0.0024,,0.0004,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,437541,2021-01-01 04:00:00,,0.0015,,18.0,,0.036,,0.002,,0.1,,0.0024,,0.0004,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,437541,2021-01-01 05:00:00,,0.0013,,14.0,,0.036,,0.0019,,0.2,,0.0024,,0.0005,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,437541,2021-01-01 06:00:00,,0.0014,,17.0,,0.036,,0.0019,,0.1,,0.0023,,0.0004,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,437541,2021-01-01 07:00:00,,0.0014,,14.0,,0.037,,0.0018,,0.1,,0.0023,,0.0005,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,437541,2021-01-01 08:00:00,,0.0015,,23.0,,0.037,,0.0019,,0.1,,0.0024,,0.0005,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,437541,2021-01-01 09:00:00,,0.0015,,21.0,,0.036,,0.002,,0.1,,0.0024,,0.0004,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,437541,2021-01-01 10:00:00,,0.0016,,18.0,,0.037,,0.0021,,0.1,,0.0026,,0.0005,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,437541,2021-01-01 11:00:00,,0.0016,,18.0,,0.038,,0.0022,,0.1,,0.0027,,0.0005,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,437541,2021-01-01 12:00:00,,0.0015,,13.0,,0.038,,0.0021,,0.1,,0.0027,,0.0005,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 13:00:00,437541,2021-01-01 13:00:00,,0.0015,,15.0,,0.039,,0.002,,0.1,,0.0025,,0.0005,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 14:00:00,437541,2021-01-01 14:00:00,,0.0015,,18.0,,0.039,,0.0022,,0.2,,0.0027,,0.0005,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,437541,2021-01-01 15:00:00,,0.0014,,21.0,,0.039,,0.0021,,0.1,,0.0026,,0.0005,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,437541,2021-01-01 16:00:00,,0.0014,,16.0,,0.04,,0.002,,0.1,,0.0025,,0.0005,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,437541,2021-01-01 17:00:00,,0.0013,,15.0,,0.04,,0.0021,,0.1,,0.0025,,0.0004,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,437541,2021-01-01 18:00:00,,0.0014,,14.0,,0.04,,0.0025,,0.1,,0.0028,,0.0004,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,437541,2021-01-01 19:00:00,,0.0013,,13.0,,0.039,,0.0029,,0.2,,0.0033,,0.0004,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
