MDATETIME,AREA_INDEX,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,Unnamed: 18,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE,SO2_ai_CODE,CO_ai_CODE,O3_ai_CODE,NO2_ai_CODE
2021-01-01 01:00:00,111312,,0.003,,23.0,,0.009,,0.03,,0.4,,0.056,,0.026,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 02:00:00,111312,,0.003,,25.0,,0.006,,0.033,,0.4,,0.056,,0.023,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 03:00:00,111312,,0.002,,26.0,,0.004,,0.032,,0.5,,0.052,,0.02,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 04:00:00,111312,,0.002,,25.0,,0.003,,0.031,,0.5,,0.047,,0.016,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 05:00:00,111312,,0.002,,28.0,,0.004,,0.03,,0.5,,0.051,,0.021,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 06:00:00,111312,,0.002,,27.0,,0.002,,0.033,,0.5,,0.068,,0.035,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 07:00:00,111312,,0.002,,30.0,,0.002,,0.036,,0.5,,0.104,,0.068,,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 08:00:00,111312,,0.002,,29.0,,0.002,,0.037,,0.6,,0.111,,0.074,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 09:00:00,111312,,0.002,,31.0,,0.002,,0.039,,0.6,,0.136,,0.097,,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 10:00:00,111312,,0.002,,33.0,,0.004,,0.035,,0.6,,0.109,,0.074,,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 11:00:00,111312,,0.003,,41.0,,0.006,,0.036,,0.5,,0.102,,0.066,,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 12:00:00,111312,,0.003,,48.0,,0.007,,0.036,,0.5,,0.09,,0.054,,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 13:00:00,111312,,0.003,,43.0,,0.009,,0.033,,0.5,,0.077,,0.044,,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 14:00:00,111312,,0.003,,38.0,,0.01,,0.042,,0.5,,0.094,,0.052,,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 15:00:00,111312,,0.003,,30.0,,0.014,,0.03,,0.3,,0.055,,0.025,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 16:00:00,111312,,0.003,,30.0,,0.014,,0.028,,0.3,,0.045,,0.017,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 17:00:00,111312,,0.003,,30.0,,0.014,,0.032,,0.3,,0.061,,0.029,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 18:00:00,111312,,0.003,,26.0,,0.01,,0.033,,0.3,,0.047,,0.014,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 19:00:00,111312,,0.003,,29.0,,0.007,,0.035,,0.4,,0.045,,0.01,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 20:00:00,111312,,0.003,,27.0,,0.007,,0.038,,0.4,,0.046,,0.008,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
