MDATETIME,AREA_INDEX,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,Unnamed: 18,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE,SO2_ai_CODE,CO_ai_CODE,O3_ai_CODE,NO2_ai_CODE
2021-01-01 01:00:00,111213,,0.003,,24.0,,0.022,,0.016,,0.4,,0.025,,0.009,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 02:00:00,111213,,0.003,,22.0,,0.023,,0.016,,0.4,,0.023,,0.007,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 03:00:00,111213,,0.003,,23.0,,0.018,,0.02,,0.4,,0.027,,0.007,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 04:00:00,111213,,0.002,,25.0,,0.007,,0.029,,0.5,,0.038,,0.009,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 05:00:00,111213,,0.002,,28.0,,0.004,,0.034,,0.5,,0.059,,0.025,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 06:00:00,111213,,0.003,,24.0,,0.003,,0.039,,0.6,,0.084,,0.045,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 07:00:00,111213,,0.003,,26.0,,0.005,,0.039,,0.5,,0.063,,0.024,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 08:00:00,111213,,0.003,,22.0,,0.009,,0.03,,0.4,,0.039,,0.009,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 09:00:00,111213,,0.003,,23.0,,0.009,,0.034,,0.5,,0.057,,0.023,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 10:00:00,111213,,0.003,,27.0,,0.013,,0.031,,0.5,,0.054,,0.023,,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 11:00:00,111213,,0.003,,28.0,,0.013,,0.034,,0.6,,0.07,,0.036,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 12:00:00,111213,,0.003,,35.0,,0.013,,0.037,,0.5,,0.071,,0.034,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 13:00:00,111213,,0.003,,34.0,,0.021,,0.025,,0.4,,0.047,,0.022,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 14:00:00,111213,,0.003,,31.0,,0.021,,0.024,,0.4,,0.046,,0.022,,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 15:00:00,111213,,0.004,,35.0,,0.023,,0.025,,0.4,,0.044,,0.019,,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 16:00:00,111213,,0.003,,29.0,,0.027,,0.021,,0.4,,0.036,,0.015,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 17:00:00,111213,,0.003,,29.0,,0.026,,0.017,,0.4,,0.032,,0.015,,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 18:00:00,111213,,0.004,,27.0,,0.017,,0.033,,0.5,,0.052,,0.019,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 19:00:00,111213,,0.004,,29.0,,0.015,,0.032,,0.5,,0.047,,0.015,,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
2021-01-01 20:00:00,111213,,0.004,,27.0,,0.014,,0.033,,0.5,,0.046,,0.013,,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
