,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-01 01:00:00,437211,2021-01-01 01:00:00,,0.004,,21.0,,0.033,,0.008,,0.3,,0.011,,0.003,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,437211,2021-01-01 02:00:00,,0.004,,20.0,,0.034,,0.008,,0.3,,0.011,,0.003,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,437211,2021-01-01 03:00:00,,0.005,,20.0,,0.033,,0.009,,0.3,,0.011,,0.002,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,437211,2021-01-01 04:00:00,,0.005,,15.0,,0.031,,0.01,,0.3,,0.013,,0.003,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,437211,2021-01-01 05:00:00,,0.005,,14.0,,0.028,,0.013,,0.3,,0.016,,0.003,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,437211,2021-01-01 06:00:00,,0.005,,19.0,,0.019,,0.021,,0.4,,0.024,,0.003,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,437211,2021-01-01 07:00:00,,0.004,,16.0,,0.012,,0.029,,0.4,,0.036,,0.007,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,437211,2021-01-01 08:00:00,,0.005,,11.0,,0.01,,0.029,,0.4,,0.037,,0.008,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,437211,2021-01-01 09:00:00,,0.005,,20.0,,0.019,,0.019,,0.4,,0.026,,0.007,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,437211,2021-01-01 10:00:00,,0.004,,21.0,,0.027,,0.01,,0.3,,0.015,,0.005,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
