AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
533114,2021-01-01 01:00:00,,0.003,,35.0,,0.003,,0.03,,0.5,,0.041,,0.011,,23.0,0,0,0,0,0,0,0,0
533114,2021-01-01 02:00:00,,0.003,,35.0,,0.003,,0.03,,0.6,,0.043,,0.013,,23.0,0,0,0,0,0,0,0,0
533114,2021-01-01 03:00:00,,0.003,,42.0,,0.003,,0.028,,0.6,,0.038,,0.01,,27.0,0,0,0,0,0,0,0,0
533114,2021-01-01 04:00:00,,0.003,,39.0,,0.003,,0.027,,0.6,,0.039,,0.012,,24.0,0,0,0,0,0,0,0,0
533114,2021-01-01 05:00:00,,0.003,,40.0,,0.003,,0.024,,0.6,,0.032,,0.008,,22.0,0,0,0,0,0,0,0,0
533114,2021-01-01 06:00:00,,0.003,,34.0,,0.004,,0.024,,0.6,,0.036,,0.012,,15.0,0,0,0,0,0,0,0,0
533114,2021-01-01 07:00:00,,0.003,,36.0,,0.003,,0.026,,0.5,,0.037,,0.011,,19.0,0,0,0,0,0,0,0,0
533114,2021-01-01 08:00:00,,0.004,,35.0,,0.003,,0.028,,0.6,,0.052,,0.024,,18.0,0,0,0,0,0,0,0,0
533114,2021-01-01 09:00:00,,0.004,,40.0,,0.003,,0.03,,0.9,,0.076,,0.046,,25.0,0,0,0,0,0,0,0,0
533114,2021-01-01 10:00:00,,0.003,,46.0,,0.005,,0.028,,0.7,,0.064,,0.036,,32.0,0,0,0,0,0,0,0,0
533114,2021-01-01 11:00:00,,0.004,,44.0,,0.006,,0.031,,0.8,,0.077,,0.046,,31.0,0,0,0,0,0,0,0,0
533114,2021-01-01 12:00:00,,0.004,,57.0,,0.014,,0.023,,0.5,,0.044,,0.021,,40.0,0,0,0,0,0,0,0,0
533114,2021-01-01 13:00:00,,0.004,,36.0,,0.024,,0.015,,0.3,,0.023,,0.008,,24.0,0,0,0,0,0,0,0,0
533114,2021-01-01 14:00:00,,0.004,,25.0,,0.024,,0.015,,0.3,,0.022,,0.007,,7.0,0,0,0,0,0,0,0,0
533114,2021-01-01 15:00:00,,0.004,,23.0,,0.022,,0.018,,0.3,,0.026,,0.008,,10.0,0,0,0,0,0,0,0,0
533114,2021-01-01 16:00:00,,0.004,,28.0,,0.018,,0.022,,0.3,,0.03,,0.008,,13.0,0,0,0,0,0,0,0,0
533114,2021-01-01 17:00:00,,0.004,,29.0,,0.013,,0.026,,0.4,,0.032,,0.006,,16.0,0,0,0,0,0,0,0,0
533114,2021-01-01 18:00:00,,0.004,,32.0,,0.005,,0.033,,0.4,,0.039,,0.006,,17.0,0,0,0,0,0,0,0,0
533114,2021-01-01 19:00:00,,0.003,,32.0,,0.003,,0.036,,0.5,,0.042,,0.006,,18.0,0,0,0,0,0,0,0,0
533114,2021-01-01 20:00:00,,0.004,,34.0,,0.003,,0.036,,0.5,,0.044,,0.008,,22.0,0,0,0,0,0,0,0,0
533114,2021-01-01 21:00:00,,0.003,,38.0,,0.006,,0.026,,0.4,,0.033,,0.007,,19.0,0,0,0,0,0,0,0,0
533114,2021-01-01 22:00:00,,0.004,,28.0,,0.003,,0.033,,0.5,,0.046,,0.013,,17.0,0,0,0,0,0,0,0,0
533114,2021-01-01 23:00:00,,0.004,,32.0,,0.003,,0.034,,0.6,,0.057,,0.023,,16.0,0,0,0,0,0,0,0,0
533114,2021-01-02 00:00:00,,0.004,,37.0,,0.005,,0.028,,0.6,,0.039,,0.011,,25.0,0,0,0,0,0,0,0,0
533114,2021-01-02 01:00:00,,0.004,,35.0,,0.003,,0.03,,0.7,,0.04,,0.01,,21.0,0,0,0,0,0,0,0,0
533114,2021-01-02 02:00:00,,0.003,,34.0,,0.003,,0.033,,0.6,,0.052,,0.019,,23.0,0,0,0,0,0,0,0,0
533114,2021-01-02 03:00:00,,0.003,,47.0,,0.003,,0.033,,0.5,,0.046,,0.013,,30.0,0,0,0,0,0,0,0,0
533114,2021-01-02 04:00:00,,0.003,,41.0,,0.003,,0.029,,0.5,,0.038,,0.009,,28.0,0,0,0,0,0,0,0,0
533114,2021-01-02 05:00:00,,0.003,,42.0,,0.003,,0.032,,0.5,,0.045,,0.013,,25.0,0,0,0,0,0,0,0,0
533114,2021-01-02 06:00:00,,0.003,,46.0,,0.003,,0.03,,0.5,,0.042,,0.012,,32.0,0,0,0,0,0,0,0,0
533114,2021-01-02 07:00:00,,0.003,,51.0,,0.003,,0.031,,0.5,,0.05,,0.019,,33.0,0,0,0,0,0,0,0,0
533114,2021-01-02 08:00:00,,0.003,,45.0,,0.003,,0.028,,0.5,,0.043,,0.015,,30.0,0,0,0,0,0,0,0,0
533114,2021-01-02 09:00:00,,0.003,,42.0,,0.003,,0.028,,0.6,,0.056,,0.028,,29.0,0,0,0,0,0,0,0,0
533114,2021-01-02 10:00:00,,0.004,,40.0,,0.005,,0.028,,0.7,,0.066,,0.038,,27.0,0,0,0,0,0,0,0,0
533114,2021-01-02 11:00:00,,0.004,,58.0,,0.009,,0.029,,0.6,,0.062,,0.033,,43.0,0,0,0,0,0,0,0,0
533114,2021-01-02 12:00:00,,0.004,,50.0,,0.019,,0.021,,0.4,,0.039,,0.018,,32.0,0,0,0,0,0,0,0,0
533114,2021-01-02 13:00:00,,0.004,,42.0,,0.025,,0.014,,0.3,,0.022,,0.008,,16.0,0,0,0,0,0,0,0,0
533114,2021-01-02 14:00:00,,0.004,,29.0,,0.028,,0.012,,0.2,,0.018,,0.006,,10.0,0,0,0,0,0,0,0,0
533114,2021-01-02 15:00:00,,0.004,,42.0,,0.029,,0.012,,0.2,,0.018,,0.006,,9.0,0,0,0,0,0,0,0,0
533114,2021-01-02 16:00:00,,0.004,,37.0,,0.028,,0.013,,0.3,,0.018,,0.005,,9.0,0,0,0,0,0,0,0,0
533114,2021-01-02 17:00:00,,0.004,,42.0,,0.027,,0.014,,0.3,,0.019,,0.005,,9.0,0,0,0,0,0,0,0,0
