AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
633361,2021-01-01 01:00:00,,0.0012,,30.0,,0.015,,0.0085,,0.3,,0.0101,,0.0016,,22.0,0,0,0,0,0,0,0,0
633361,2021-01-01 02:00:00,,0.0012,,32.0,,0.014,,0.0086,,0.4,,0.0095,,0.0009,,18.0,0,0,0,0,0,0,0,0
633361,2021-01-01 03:00:00,,0.0013,,29.0,,0.013,,0.0091,,0.4,,0.0154,,0.0063,,24.0,0,0,0,0,0,0,0,0
633361,2021-01-01 04:00:00,,0.0013,,34.0,,0.011,,0.0083,,0.4,,0.0104,,0.0021,,20.0,0,0,0,0,0,0,0,0
633361,2021-01-01 05:00:00,,0.0012,,31.0,,0.011,,0.0082,,0.4,,0.0089,,0.0007,,20.0,0,0,0,0,0,0,0,0
633361,2021-01-01 06:00:00,,0.0013,,32.0,,0.009,,0.0089,,0.4,,0.0098,,0.0009,,21.0,0,0,0,0,0,0,0,0
633361,2021-01-01 07:00:00,,0.0015,,36.0,,0.008,,0.0097,,0.4,,0.0167,,0.007,,26.0,0,0,0,0,0,0,0,0
633361,2021-01-01 08:00:00,,0.0014,,34.0,,0.007,,0.0098,,0.4,,0.0126,,0.0028,,24.0,0,0,0,0,0,0,0,0
633361,2021-01-01 09:00:00,,0.0013,,38.0,,0.009,,0.0078,,0.4,,0.0098,,0.002,,27.0,0,0,0,0,0,0,0,0
633361,2021-01-01 10:00:00,,0.0013,,44.0,,0.013,,0.0069,,0.4,,0.0093,,0.0024,,31.0,0,0,0,0,0,0,0,0
633361,2021-01-01 11:00:00,,0.0013,,40.0,,0.018,,0.0074,,0.4,,0.011,,0.0036,,26.0,0,0,0,0,0,0,0,0
633361,2021-01-01 12:00:00,,0.0015,,31.0,,0.027,,0.0059,,0.3,,0.0076,,0.0017,,17.0,0,0,0,0,0,0,0,0
633361,2021-01-01 13:00:00,,0.0016,,29.0,,0.033,,0.0042,,0.3,,0.0052,,0.001,,14.0,0,0,0,0,0,0,0,0
633361,2021-01-01 14:00:00,,0.0017,,20.0,,0.034,,0.0042,,0.2,,0.0047,,0.0005,,14.0,0,0,0,0,0,0,0,0
633361,2021-01-01 15:00:00,,0.0017,,28.0,,0.034,,0.005,,0.2,,0.0059,,0.0009,,18.0,0,0,0,0,0,0,0,0
633361,2021-01-01 16:00:00,,0.0016,,25.0,,0.034,,0.0047,,0.2,,0.0054,,0.0007,,17.0,0,0,0,0,0,0,0,0
633361,2021-01-01 17:00:00,,0.0015,,29.0,,0.033,,0.0054,,0.2,,0.0064,,0.001,,13.0,0,0,0,0,0,0,0,0
633361,2021-01-01 18:00:00,,0.0014,,29.0,,0.028,,0.0058,,0.2,,0.0062,,0.0004,,15.0,0,0,0,0,0,0,0,0
